"","ctrl_1","ctrl_2","ctrl_3","ctrl_4","BLZ_1","BLZ_2","BLZ_3","PD1_PDL1_1","PD1_PDL1_2","PD1_PDL1_3","PD1_PDL1_4","combo_1","combo_2","combo_3","combo_4"
"Lag3",4.65448846384313,4.5700047844341,4.64264695831427,5.1415128181837,4.57083011318784,4.64820694925469,4.36281003780787,5.30330526181798,6.37232158207411,5.16354431524386,5.1975882119134,6.3149968068665,5.43509778157091,6.27855059099462,6.93725042892857
"Anpep",6.69627084170801,7.03181925642683,7.26729554845325,7.52387419342578,7.21462091138067,6.69650350498897,6.8957928187551,7.12390420340616,8.16010049470343,7.16793888928995,7.25598716025964,8.02645220050901,7.34518495006788,8.09188650363959,9.17632150245797
"Lipa",8.08500541601436,8.21597102412518,8.70329888199965,8.72175039474259,8.46469058298926,8.39593505680835,8.04955957499451,8.54846287536079,9.42903113422598,8.39810319206184,8.55698523332702,9.16182907150838,8.92257973837119,9.32370245537809,10.6428407039523
"Lipe",5.43558855889769,5.11011236849404,5.68697914469021,5.426015551196,5.62230094290706,5.07350777126399,5.68021573055322,5.26908378998634,7.48920868196046,5.17900952123151,6.41163070226629,7.34006598944002,6.44481965958287,6.39988986356311,8.09766457758201
"Lipg",3.44840866020691,3.19257608062767,4.08337360456848,4.2183485085408,4.41395190294318,4.54496696975429,4.4200305678619,4.73853702932321,4.54496696975429,4.18952603074281,5.01621865728839,5.73607881074025,4.67270961079191,5.89708357063255,7.32690335404912
"Psmb9",4.34410567412283,4.07676412570894,4.99333793659428,3.96117959923716,4.23945547464484,4.11970866193059,4.3651884652296,4.96437253599159,6.85882593784206,4.29379103371124,5.67956065444777,7.29813681269882,4.96437253599159,7.28463241241819,8.05366808117556
"Psmb8",5.73194031060798,5.55464394381051,7.09611025423156,6.08792939253435,6.17087033680934,5.6759563368156,6.3246768735992,6.70502191295225,8.4864785904454,5.82255620564227,6.99776038445201,9.34001370302052,6.57290417840412,8.82842013147716,9.54554580299743
"Xcl1",3.12076864536849,3.09149241492371,2.88521895542553,3.53175055939503,3.45376836640177,2.84566241828921,2.98072847135514,4.10583233174991,3.79324707177924,2.96426434155465,3.95680183905867,4.24506204736635,3.64484172234526,4.61495866934526,4.69065832437093
"Ly75",4.86071869539251,4.43029820849779,5.17298718613611,5.09060327879908,4.75143906021112,4.79823560940567,4.72724212456465,5.16564081981363,5.6346053371172,5.35938255881919,5.37678671297104,6.02427183368918,5.25676319871467,5.89875530650934,7.20121587019172
"Cd180",4.70312757759465,4.82622196164011,5.75927718277079,5.38602069874764,4.49543896018577,4.61805442537961,5.08404990541486,5.64306984041018,6.52251825806541,5.10709180304529,5.37322030283349,5.71039510315417,5.5632347795304,6.63564943717957,8.06642528811247
